id,material_id,pretty_formula,band_gap,e_above_hull,theoretical
1,mp-661,AlN,4.054,0.000,FALSE
2,mp-1330,AlN,4.449,0.172,FALSE
3,mp-29909,Ba4I6O,3.979,0.000,FALSE
4,mp-23260,BaI2,3.443,0.000,FALSE
5,mp-568536,BaI2,3.050,0.006,FALSE
6,mp-6977,Be3N2,3.353,0.029,FALSE
7,mp-18337,Be3N2,3.313,0.000,FALSE
8,mp-1794,BeO,8.175,0.482,FALSE
9,mp-2542,BeO,7.460,0.000,FALSE
10,mp-7599,BeO,7.084,0.012,FALSE
11,mp-2605,CaO,3.645,0.000,FALSE
12,mp-22906,CsBr,4.243,0.040,FALSE
13,mp-571222,CsBr,4.258,0.000,FALSE
14,mp-573697,CsCl,4.849,0.000,FALSE
15,mp-22865,CsCl,4.988,0.048,FALSE
16,mp-1079694,CsI,3.126,0.114,FALSE
17,mp-1056920,CsI,3.666,0.033,FALSE
18,mp-614603,CsI,3.857,0.000,FALSE
19,mp-1188344,CsLiCl2,5.115,0.000,FALSE
20,mp-23364,CsLiCl2,5.037,0.012,FALSE
21,mp-2345,Dy2O3,3.925,0.000,FALSE
22,mp-679,Er2O3,3.964,0.000,FALSE
23,mp-2460,Er2O3,4.112,0.048,FALSE
24,mp-558336,Ho2O3,4.061,0.046,FALSE
25,mp-812,Ho2O3,3.950,0.000,FALSE
26,mp-23289,KCl,4.838,0.078,FALSE
27,mp-23193,KCl,5.027,0.000,FALSE
28,mp-22901,KI,3.240,0.070,FALSE
29,mp-22898,KI,3.851,0.000,FALSE
30,mp-1078836,KI,3.715,0.021,FALSE
31,mp-2292,La2O3,3.532,0.000,FALSE
32,mp-1968,La2O3,3.844,0.024,FALSE
33,mp-4511,La2SO2,3.080,0.000,FALSE
34,mp-14871,Li16Ta2N8O,3.403,0.000,FALSE
35,mp-9610,Li2CN2,3.720,0.000,FALSE
36,mp-1960,Li2O,4.917,0.000,FALSE
37,mp-557142,Li2S,3.160,0.175,FALSE
38,mp-1153,Li2S,3.411,0.000,FALSE
39,mp-1125,Li2S,3.899,0.056,FALSE
40,mp-5001,Li3BN2,3.371,0.000,FALSE
41,mp-5914,Li3BN2,3.301,0.003,FALSE
42,mp-8926,Li3BN2,3.481,0.003,FALSE
43,mp-1020016,Li4Ca2Mg(SiN3)2,3.303,0.000,FALSE
44,mp-3503,Li6WN4,3.059,0.000,FALSE
45,mp-14827,Li7NbN4,3.333,0.000,FALSE
46,mp-14753,Li7TaN4,3.341,0.000,FALSE
47,mp-4604,Li7VN4,3.011,0.000,FALSE
48,mp-23259,LiBr,4.925,0.025,FALSE
49,mp-22905,LiCl,6.251,0.020,FALSE
50,mp-10251,LiDyO2,3.964,0.007,FALSE
51,mp-976726,LiDyO2,4.566,0.000,FALSE
52,mp-10971,LiErO2,4.171,0.003,FALSE
53,mp-10970,LiErO2,4.104,0.000,FALSE
54,mp-1138,LiF,8.716,0.000,FALSE
55,mp-21332,LiGdO2,3.282,0.000,FALSE
56,mp-23703,LiH,3.018,0.000,FALSE
57,mp-12645,LiHoO2,4.026,0.000,FALSE
58,mp-570935,LiI,4.382,0.000,FALSE
59,mp-568273,LiI,4.225,0.036,FALSE
60,mp-22899,LiI,4.234,0.036,FALSE
61,mp-5840,LiScO2,3.904,0.000,FALSE
62,mp-7137,LiTbO2,4.547,0.000,FALSE
63,mp-7020,LiYO2,4.108,0.000,FALSE
64,mp-1427,Lu2O3,4.023,0.000,FALSE
65,mp-2763,Nd2O3,3.834,0.038,FALSE
66,mp-1045,Nd2O3,3.708,0.000,FALSE
67,mp-2063,Pr2O3,3.776,0.026,FALSE
68,mp-16705,Pr2O3,3.659,0.000,FALSE
69,mp-23303,RbBr,3.927,0.055,FALSE
70,mp-22867,RbBr,4.193,0.000,FALSE
71,mp-23295,RbCl,4.839,0.000,FALSE
72,mp-23299,RbCl,4.779,0.061,FALSE
73,mp-23302,RbI,3.346,0.050,FALSE
74,mp-22903,RbI,3.777,0.000,FALSE
75,mp-10733,Sm2O3,3.960,0.040,FALSE
76,mp-1745,Sm2O3,3.750,0.032,FALSE
77,mp-218,Sm2O3,3.782,0.000,FALSE
78,mp-569782,Sr2LiCBr3N2,3.974,0.000,FALSE
79,mp-567744,SrBr2,4.470,0.000,FALSE
80,mp-32711,SrBr2,4.300,0.014,FALSE
81,mp-9167,SrCN2,3.603,0.005,FALSE
82,mp-1019258,SrF2,5.936,0.174,FALSE
83,mp-981,SrF2,6.753,0.000,FALSE
84,mp-2457,Tb2O3,3.946,0.040,FALSE
85,mp-1056,Tb2O3,3.901,0.000,FALSE
86,mp-643,ThO2,4.425,0.000,FALSE
87,mp-1767,Tm2O3,3.980,0.000,FALSE
88,mp-570510,Xe,6.194,0.000,FALSE
89,mp-611517,Xe,6.209,0.005,FALSE
90,mp-2652,Y2O3,4.056,0.000,FALSE
91,mp-558573,Y2O3,3.960,0.047,FALSE
92,mp-1216,YbO,3.473,0.000,FALSE
